,max_abs_corr_other
bracket_mid,1.000000000000001
bracket_z_vs_hist,1.000000000000001
bracket_high,0.9969123005300334
bracket_low,0.996787330285014
pct_elapsed,0.9652588981345552
hours_to_close,0.9652588981345552
log1p_hours_elapsed,0.9639771057440696
hours_elapsed,0.9639771057440696
n_ticks_log1p,0.9551783274482869
log1p_hours_to_close,0.9449844633917452
hist_win_context,0.8502241757263937
log_ret_path,0.8495042380525497
ema_ratio_12_26,0.8495042380525497
current_price,0.7967545103868522
macd,0.7967545103868522
volatility_ticks,0.5776987278477814
ret_24h,0.3147201229624356
rsi_14,0.23644694626246004
ret_6h,0.1771035362555516
